E1,Relation,E2
several proteins,were found to mediate,relationship of PA with all-cause dementia
proteins,may mediate,relationship of PA with incident all-cause dementia
they,mediate,relationship to assess whether plasma p-tau181 is differentially associated with volumetric changes in distinct hippocampal subfields
amyloid-β amyloid-β pathology,impact of,relationships
amyloid-β amyloid-β pathology,has impact on,relationships
brain structure,was involved,relationships
genetic correlations,are caused by,relationships
the brain,becomes susceptible to,relative hypoperfusion
vascular injury,causes,relative hypoperfusion
cytoskeletal degradation,causes,release of neurofilament proteins from degenerated axons into cerebrospinal fluid and plasma
inflammasome,was activated,release of ox-mtDNA
subclinical peripheral health,may influence,"relevant biomarker levels, particularly NfL"
VAMP2,demonstrates,reliability exclusively in Cerebrospinal fluid
Heterogeneity,were then used to evaluate,reliability of all causal estimates
horizontal pleiotropy,were then used to evaluate,reliability of all causal estimates
leave-one-out sensitivity analysis,were then used to evaluate,reliability of all causal estimates
indirect associations,pose a threat to,reliability of biomarker discovery
spurious causal relationships,pose a threat to,reliability of biomarker discovery
spurious causal relationships,pose a threat to,reliability of biomarker discovery for brain disorders
Alzheimer's disease sensitivity analyses,confirmed,reliability of causal estimates
it,establishes,reliable diagnostic tool for Alzheimer's disease (AD)
smaller overlap,is required for,reliable use in clinical applications
GD,had a causal effect on,remaining outcomes
these associations,are causal,remains largely uncertain
traumatic brain injury,may occur after,repetitive head impacts
traumatic brain injury,may be caused by,repetitive head impacts
integration of plasma pTau species with other factors,can enhance,research
NfL,is used in,research
use of NfL,is facilitated in,research
integration of plasma pTau species with other factors,can thus enhance,research utility
health-related comorbidities,impact of,Researchers or study authors
observational studies,are limited due to,residual confounders
bias,due to,residual confounding factors
structural damages caused by variable BP,may reduce,resilience to future dementia-related pathology
Tau knockout,confers,resistance against AβO insult
tau knockout,confers,resistance against AβO insult
puzzling relationship,has been shown to be associated with,resistance to insulin action
apolipoprotein E,impacts,response to Alzheimer's disease
Apolipoprotein E,impacts,response to Alzheimer's disease circulating estradiol supplementation post-menopause
Apolipoprotein E signal,may be associated with,response to C-reactive protein
Apolipoprotein E signal,may be associated with,response to statin
fluctuation amplitudes of node 46,in,resting-state functional MRI dimensionality 100
the concept,is related to,restoring insulin sensitivity
the concept,is that,restoring insulin sensitivity can mitigate neurodegeneration
extent and distribution of future tau accumulation,may be predicted,results
pathogenic cascade during the preclinical stage of AD,is influenced by,results
predicted progression to AD dementia,were similar to,results for the BioFINDER test data
new isoform of the tau protein,is formed due to,retention of intron 12
tau protein,is formed due to,retention of intron 12
W-Tau,is formed due to,retention of intron 12
W-Tau isoform,is formed due to,retention of intron 12
APOE ε4 allele,is associated with,retinal nerve fiber layer thickness
medial amygdala,to,retrosplenial
bioinformatic analyses,were performed,reveal potential mechanisms
causal mediation,were performed,reveal potential mechanisms
proteomic analyses,were performed,reveal potential mechanisms
bias,due to,reverse causality
link,is due to,reverse causality
causal relationships,were validated by,reverse MR analysis
Amyloid-β (Aβ),is associated with,reversion
Tau,is associated with,reversion
amyloid-β (Aβ),associated with,reversion and conversion
Amyloid-β (Aβ),associated with,reversion and conversion
Amyloid-β (Aβ),is associated with,reversion and conversion
amyloid-β (Aβ),is associated with,reversion and conversion
tau,associated with,reversion and conversion
tau,is associated with,reversion and conversion
Tau,is associated with,reversion and conversion
full cohort analysis,in,right temporal tau
full cohort analysis,was associated with,right temporal tau
FTP-PET signal,in,right-dominant fronto-parietal pattern
increasing use of social media,has led to,rise of cyberbullying
challenge,leads to,rising morbidity
AD,is associated with,risk
Cathepsin L (CTSL),is associated with,risk
CRC,associated with,risk
diseases,were caused by,risk
late-life cardiovascular disease,was for,risk
levels,were associated with,risk
those with no apparent cause,to identify,risk
inverse probability weighting adjustment,increased,risk by 15%
Alzheimer's disease pathology,may be influenced by,risk factor
acceleration of brain atrophy,associated with,risk factors
impact,is modulated by,risk factors
progression from normal cognition to MCI,associated with,risk factors
insulin sensitivity,contributed to,risk for Alzheimer's disease
APOE-ε4 allele,is associated with,risk for Alzheimer's disease clinical trials
EL,were not associated with,"risk for developing neurodegenerative diseases (ALS, PD, AD)"
SHBG,were not associated with,"risk for developing neurodegenerative diseases (ALS, PD, AD)"
features,increase,risk for future objective cognitive decline
SCD-plus features,increase,risk for future objective cognitive decline
neuropsychiatric symptoms,may contribute to,risk for progressive decline
APOE ε4 status,is associated with,risk for sporadic AD
AD,was associated with,risk genes
colocalization and transcriptomic analyses,through,risk genes
analysis,identified,risk genes associated with AD
analysis,was conducted to identify,risk genes associated with AD
colocalization analysis,was conducted to identify,risk genes associated with AD
Cerebrospinal fluid biomarkers,are associated with,risk of 4 distinct types Cerebrospinal fluid dementia
neuropsychiatric symptoms (NPS),have been associated with,risk of accelerated cognitive decline
Alzheimer's disease cohort,was being studied for,risk of AD
CYP21A2 deficiency,has the potential to reduce,risk of AD
dietary habits,causal association between,risk of AD
higher genetically predicted RHR,no significant causal effect of,risk of AD
pathways of CYP21A2 deficiency,may reduce,risk of AD
mtDNAcn,influences,risk of AD and PD
adiponectin levels,are associated with,risk of Alzheimer's disease
Australian National University Alzheimer Disease Risk Index scores,predict,risk of Alzheimer's disease
Australian National University Alzheimer Disease Risk Index scores,are used to predict,risk of Alzheimer's disease
Australian National University Alzheimer Disease Risk Index scores,could be used to predict,risk of Alzheimer's disease
blood pressure,had an impact on,risk of Alzheimer's disease
causal effect of entertainment activity factors,was on,risk of Alzheimer's disease
entertainment activity factors,has causal effect on,risk of Alzheimer's disease
fasting insulin,had an impact on,risk of Alzheimer's disease
IS risk gene polymorphisms,were associated with,risk of Alzheimer's disease
IS risk SNPs,were associated with,risk of Alzheimer's disease
modifiable entertainment activity factors,and the,risk of Alzheimer's disease
they,are associated with,risk of Alzheimer's disease
total cholesterol,had an impact on,risk of Alzheimer's disease
these treatments,may also influence,risk of Alzheimer's disease AD-related cognitive decline
ADNI cohort,in,risk of Alzheimer's disease and Alzheimer's disease major indicators
causal relationship,between,risk of Alzheimer's disease and Parkinson's disease
being away from defecation disorders,may help reduce,risk of Alzheimer's disease development
improving constipation,may help reduce,risk of Alzheimer's disease development
APOE ε4 allele copy number,is associated with,risk of amyloid-related imaging abnormalities
metabolic syndrome,associated with,risk of anxiety disorder
metabolic syndrome,is associated with,risk of anxiety disorder
inhibitors,increased,risk of asthma
inhibitors,increased less than,risk of asthmatic pneumonia
Alzheimer's disease,is associated with,risk of cerebral microbleeds
presence of these factors,increases,risk of cognitive decline
free plasma Aβ(1)(-)(42)/Aβ(1)(-)(40) ratio,is associated with,risk of conversion from MCI to dementia within three years
causal relationship between 179 lipid species,and,risk of dementia
causal relationship between the lipid species,and,risk of dementia
elevated neurofilament light,is associated with,risk of dementia
genetically predicted specific-site Osteoarthritis,was not significantly associated with,risk of dementia
glycerolipid,causal effects on,risk of dementia
glycerophospholipid,causal effects on,risk of dementia
Inflammatory bowel disease,no evidence of a causal effect between,risk of dementia
lipid species,causal relationship between,risk of dementia
lipid species,had a causal relationship,risk of dementia
lipid species,had a causal relationship with,risk of dementia
sterol,causal effects on,risk of dementia
neurobiological underpinnings,of,risk of dementia associated with divorce
neurobiological underpinnings,of,risk of dementia associated with widowhood
Apolipoprotein E4,increases,risk of developing AD
bioavailable testosterone,was negatively associated with,risk of developing ALS
targeting bioavailable testosterone,may help reduce,risk of developing ALS
genes,influenced by,risk of developing Alzheimer's disease and other dementias
several genes,have been identified that influence,risk of developing Alzheimer's disease and other dementias
Apolipoprotein E ε4 allele,increases,risk of developing dementia
several genes,have been identified that influence,risk of developing other dementias
PM,has a causal impact on,risk of developing these diseases
genetically predicted Alzheimer's disease,has causal effect on,risk of erectile dysfunction
risk of LBD,associated with,risk of FTD
community setting,in,"risk of future MCI, AD, and all-cause dementia"
common mental diseases,causal associations between,risk of gastrointestinal diseases
IL-6 inhibitors,significantly reduced,risk of idiopathic pulmonary fibrosis
HMGA1 rs146052672 variant,known to increase,risk of insulin resistance and T2D
Sleep apnea,has significant causal effect on,risk of Ischemic stroke
genetically predicted cholesterol,found to reduce,risk of Late-Onset Alzheimer's Disease
metabolic syndrome,is associated with,risk of major depression
brain tau deposition,increases,risk of MBI
proteins in blood,increase,risk of MBI
levels of circulating inflammatory cytokines,have causal nexus with,risk of neurodegenerative diseases
species of immune cells,causal relationship between,risk of neurodegenerative diseases
species of immune cells,was between,risk of neurodegenerative diseases
adiponectin levels,are associated with,risk of Parkinson's disease
accumulation rates,may influence,risk of reaching clinically relevant Alzheimer's disease biomarker levels
CRF-related differences,influence,risk of reaching clinically relevant Alzheimer's disease biomarker levels
APOE ε4 allele status,impacts,risk of side effects from anti-amyloid beta antibody treatment
traumatic brain injury,was causally associated with,risk of some complications
amyloid-induced tauopathy,is a condition associated with,RNA metabolism
nucleoplasm compartment,in,RNA processing
they,involved in,RNA processing
they,were involved in,RNA processing
ALZ-801,leads to,robust decrease in amyloid-induced brain neurode
ALZ-801,leads to,robust decrease in amyloid-induced brain neurodegeneration
MR analyses,provided,robust evidence for the causal effects of genetic liability for Alzheimer's disease
systematic review,provides,robust genetic evidence
connections,was ascertained,robustness
leave-one-out sensitivity analysis,confirmed,robustness of the causal effect estimations for genetically predicted DLB
leave-one-out sensitivity analysis,confirmed,robustness of the causal effect estimations for genetically predicted MS
leave-one-out sensitivity analysis,confirmed,robustness of the causal effect estimations for genetically predicted PD
analysis,supported,robustness of the observed association
intraperitoneal administration of streptozotocin,is widely used in,rodent models
intraperitoneal administration of streptozotocin,is used in,rodent models
Alzheimer's disease,is associated with,role of Aβ(1-38)
Alzheimer's disease progression,is influenced by,role of LDL-C
microglia activation,is caused by,role of microtubule-associated protein Tau pathology
sex difference,in the association between,RPS6KB1 and all-cause dementia
eXtreme Gradient Boosting machine learning algorithm,also identified,"RPS6KB1, NEFL, and KIM1"
BBB integrity,influenced,s-p-tau181 levels
markers of renal function,influenced,s-p-tau181 levels
proteins associated with incident LOAD group,includes,S100A13
proteins associated with incident LOAD group,include,S100A13
S3,is an alternative representation of,S2
AD,have a relationship similar to,S3
removed because it is redundant with S3,removed because it is redundant with,S3
S13,is an alternative way of expressing,S3
AD,is similar to,S9
AD,causal effects on risk of,SA
CAD,causal effects on risk of,SA
stroke,causal effects on risk of,SA
change in clinical Seed amplification assay,was associated with,SAA
Human apolipoprotein E isoforms,have opposing impacts on,sAD
Functional Alzheimer's disease,is enhanced,safety
therapies,are concerning due to,safety concerns
Alzheimer's disease,may be caused by,same factors
colorectal cancer,may be caused by,same factors
Alzheimer's disease pathology,aggravate,same symptoms synergistically
Alzheimer's disease pathology,may aggravate,same symptoms synergistically
cerebral small vessel disease,aggravate,same symptoms synergistically
cerebral small vessel disease,may aggravate,same symptoms synergistically
diseases,contribute to,same symptoms synergistically
diseases,aggravate,same symptoms synergistically
magnitude of clinical decline,was predicted in,sample of atypical early AD patients
Predicted trajectories as a prognostic covariate,reduced,sample sizes
Tau proteins,are pathological due to,SARS-CoV-2 nucleocapsid protein
AMYPAD,was positively associated with,SBP
S3,offers,scalability and durability
S3,offers,scalable and durable object storage
S3,provides,"scalable, durable, and highly available object storage"
baseline plasma Aβ(42),may predict,SCD progression
cross-sectional global cognition,in all but the,SCD subgroup
Individuals with Subjective cognitive decline,reflecting,SCD-plus features
subjective cognitive decline,reflecting,SCD-plus features
causal relationship,was found with,schizophrenia
ferritin,no causal association found between,schizophrenia
IVW analysis of the study,suggested that,schizophrenia is associated with an increased risk of all-cause dementia
five microbial taxa,influencing,sCJD risk
these biomarkers,might thus facilitate,screening of participants for future primary prevention trials
clinical trials,require,screening on entry
analysis,goal of,scrutinize the causal correlation between 338 Cerebrospinal fluid biomarkers and the danger of 4 dementia categories
early levels of cortical amyloid aggregation,were found in,secondary amyloid positron emission tomography analyses
early levels of cortical amyloid aggregation,were detected in,secondary amyloid positron emission tomography analyses
synaptotoxic tau,was present in,secretomes of induced pluripotent stem cell-derived neurons
synaptotoxic tau,was present in,secretomes of induced pluripotent stem cell-derived neurons from people with Trisomy 21
brain tissue,harboring,seeding-competent early tau multimers
tau positron emission tomography measures,were associated with,semantic fluency
cognitive outcome measures,are unclear in the extent to which they,sensitive
causal relationships,were validated by,sensitivity analyses
Twenty-one GMs,passed,sensitivity tests
Apolipoprotein E4,may be associated with,sensitivity to the anti-anxiety effects of metformin
male sex,may be associated with,sensitivity to the anti-anxiety effects of metformin
original sentence,was not,sentence
disease,highlighted,sequential impact of pathology on cognition
Amyloid-related imaging abnormalities,are associated with,serious complications
Amyloid-related imaging abnormalities,can lead to,serious complications
Alzheimer's disease,is associated with,serum ANGPT-2
Alzheimer disease biomarkers,were associated with,serum metabolites
association,was associated with,serum metabolites
blood-derived mitochondrial DNA copy number,was associated with,serum metabolites
serum metabolites,were associated with,serum metabolites
Mendelian randomization approach,for,seven of them
Alzheimer's disease,influenced by,several factors
Alzheimer's disease progression,is influenced by,several factors
cognitive decline,is associated with,several factors
lower volume of hippocampus,is one of,several factors
progression of Alzheimer's disease,is influenced by,several factors
risk of cognitive decline,is associated with,several factors
Alzheimer's disease and other dementias,are influenced by,several genes
developing conditions,risk of,several genes
risk of developing Alzheimer's disease and other dementias,is influenced by,several genes
these conditions,are influenced by,several genes
APOE ε4 allele,influences,several NPS
NULISAseq proteomic analysis,identified,several plasma biomarkers
Mendelian randomization in the reverse direction,indicated,several proteins
Mendelian randomization in the reverse direction,indicated that,several proteins are not the direct causes of the disease
Mendelian randomization,in the reverse direction indicated,several proteins were not the direct causes of the dementia
Mendelian randomization in the reverse direction,were not for indicating,several proteins were not the direct causes of the disease
amyloid beta deposition,increased,severe presynaptic dysfunction
interaction between amyloid beta and cortical Aβ deposition,caused,severe presynaptic dysfunction
PP,resulted in,severe presynaptic dysfunction
IS risk gene polymorphisms,were associated with,severity of Alzheimer's disease in Alzheimer's disease patients
peripheral interleukin-6,is associated with,severity of Behavioral and psychological symptoms of dementia in AD
abstract reasoning,was associated with,sex
AD pathology,is influenced by,sex
amyloid-tau interval,was influenced by,sex
APOE -ε4 status,influence,sex
APOE-ε4 effects,were not influenced by,sex
biomarker levels,were associated with,sex
BMI,influenced by,sex
effects of depressive symptom trajectories on cognition,were influenced by,sex
effects of depressive symptom trajectories on dementia risk,were influenced by,sex
longitudinal trajectories,are influenced by,sex
plasma biomarker levels,could be influenced by,sex
progression of AD pathology,is influenced by,sex
sex,interaction on,sex
sex interaction,on,sex
symptom progression,is influenced by,sex
Tau accumulation,was not influenced by,sex
timing of amyloid and tau PET positivity,was influenced by,sex
trajectory of AD pathology,is influenced by,sex
brain function,may contribute to,sex differences in hearing difficulty predisposition
brain structure,may contribute to,sex differences in hearing difficulty predisposition
brain structure and function,may be a possible cause of,sex differences in hearing difficulty predisposition
cause-effect relationships,may influence,sex differences in hearing difficulty predisposition
possible cause-effect relationships,may have a role in,sex differences in hearing difficulty predisposition
possible cause-effect relationships,may be involved in,sex differences in hearing difficulty predisposition
possible cause-effect relationships,may be a factor in,sex differences in hearing difficulty predisposition
possible cause-effect relationships,contribute to,sex differences in hearing difficulty predisposition
possible cause-effect relationships,may influence,sex differences in hearing difficulty predisposition
shared regulatory mechanisms,may be involved in,sex differences in hearing difficulty predisposition
shared regulatory mechanisms,contribute to,sex differences in hearing difficulty predisposition
shared regulatory mechanisms,may influence,sex differences in hearing difficulty predisposition
Cardiovascular disease and its components,had no impact on,sex effects
cardiovascular disease and its components,had no impact on,sex effects
cardiovascular disease and its components,did not influence,sex effects
APOE -ε4 status,influence,sex interaction on APOE -ε4 status
APOE -ε4 status,influence of,sex interaction on APOE -ε4 status
it,influences,sex-dependent disease manifestations
heterogeneity of AD,is due to,sex-specific neuropathological features
individuals with the APOE-ε4 gene,showed,sex-specific vulnerability to BMI's impact on brain health
colocalization analysis,determined,shared causal genetic variants
evidence,showed,shared causal variant between Alzheimer's disease with cerebral microbleeds and white matter hyperintensities
concept of 3 Type 3 Diabetes,has led to,shared features
BMTs,exhibit,shared genetic architecture
subset of BMTs,exhibit,shared genetic architecture
cerebral blood flow,role of,shared mechanism
hearing difficulty predisposition,may be caused by,shared regulatory mechanisms
coexistence,may be caused by,shared risk factors
findings,contribute to,shedding light on neurodegenerative diseases
our findings,contribute to,shedding light on the prediction for the diseases
findings,contribute to,shedding light on the prediction for the neurodegenerative diseases
findings,contribute to,shedding light on the therapeutic intervention for the neurodegenerative diseases
Tau accumulation,is associated with,short term clinical progression
dementia subtype,influenced,short-term benefits in depressive symptoms
dementia subtype,influenced,short-term benefits in depressive symptoms and quality of life
dementia subtype,influenced,short-term benefits in quality of life
p-tau/Aβ(42),is the only marker that predicts,short-term conversion to DLB
High TH levels,are associated with,shortened lifespan
this,resulted in,shorter Digital Clock Drawing Test think-time
This,resulted in,shorter Digital Clock Drawing Test think-time
Blood NfL levels,were associated with,shorter survival
CSF NfL levels,were not associated with,shorter survival
CSF biomarker concentrations,change after,shunt insertion
APOE ε4 allele,increases the risk of,side effects from anti-amyloid beta antibody treatment
CSF proteome analyses,can identify,signals associated with the AD pathological process
its removal,resulted in,significant age effect
removal of group status,resulted in,significant age effect
removal of group status from the model,resulted in,significant age effect
biomarker assessments,showed,significant amyloid beta
men,showed,significant association with all-cause dementia
analyses,showed,significant associations
analyses,showed,significant associations of neurodegenerative diseases with mitochondrial protein gene variants
protein tau,has gained,significant attention
two-sample MR analyses,identified,significant causal associations
IVW,identified,significant causal associations between genetic liability to OCD and increased risk of AD
evidence,supporting,significant causal associations between micronutrients and mental health
goal,was to validate,significant causal associations identified in the two-sample MR analyses
Alzheimer's disease OPG levels,no,significant causal relationship
financial analysts,predict,significant decline in the company's stock price
ε4 allele haplogroup,was associated with,significant decrease in APOE ε4 protein levels in CSF
measure translation,resulted in,significant decrease in neuronal translation
T231 phosphorylation mimetic strain,having,significant decrease in neuronal translation
CSF/Plasma ratio,found,significant difference
advanced immunoassays,show,significant elevations in plasma total tau (t-tau) early in traumatic brain injury
IL6R gene,is associated with,significant genome-wide associations with C-reactive protein
amyloid-β positive participants,did not have,significant impact
temperatures,did not have,significant impact
three freeze-thaw cycles,did not have,significant impact
growing recognition,of,significant impact of motor dysfunction in individuals affected by Alzheimer's disease
its implementation,is expected to have,significant impact on the economy
policy,is expected to have,significant impact on the economy
this,will have,significant impact on the field of study
restructuring,resulted in,significant increase in productivity
apolipoprotein E (APOE) ε4 allele,exerts,significant influence on neuroinflammation
apolipoprotein E (APOE) ε4 allele,exerts,significant influence on peripheral inflammation
Alzheimer's disease AD,may exert,significant influence on vasculature
forward MR analyses,identified,significant or suggestively statistical causal effects
baseline Neurofilament Light,showed,significant predictive value
Aβ,results in,significant role of BF atrophy
higher adherence to both diets,was associated with,significantly better cognitive scores
combination of pathological T-tau and NfL,was associated with,significantly increased risk of clinical progression
UVMR analysis,revealed,significantly positive causal association between RA and late-onset (LO) AD
increasing depressive symptoms in men,were associated with,significantly steeper rates of cognitive decline
Down syndrome,increases the risk of,similar pathology in the general population
inverse-variance weighting,supplemented by,simple mode methods
potential power loss for detecting treatment effect,was assessed by,simulation
power loss,was assessed by,simulation
sparse testing,was assessed by,simulation
phenotypic diversification,is predicted by,simultaneous progression along multiple axes
effect of LBD on colon cancer,was influenced by,single factor
effect of LBD on colon cancer,influenced by,single factor
effect of LBD on colon cancer,was influenced by,"single factor, total cholesterol"
disease,is caused by,single genetic mutation
assessments of depressive symptoms,based on,single time point
Alzheimer's disease (AD),is not,single-cause disease
potential causal relationships,between,six different types of immune cells
proteins,showed causal associations with,six downstream proteins
loci,are associated with,SLC39A11 genes
development of AD,was influenced by,sleep
biological mechanisms,by which,sleep and APOE ε4 influence the development of AD
increased body temperature,led to,sleep deprivation
Apolipoprotein E ε4,combination of,sleep disorders
Apolipoprotein E ε4,together can lead to,sleep disorders
Apolipoprotein E ε4,and,sleep disorders
Apolipoprotein E ε4,interaction between,sleep disorders
Apolipoprotein E ε4,interact with,sleep disorders
cognitive decline,was associated with,sleep disorders disorder
APOE ε4 allele,is associated with,sleep disturbance
Alzheimer's disease and related dementias,are associated with,sleep disturbances
Apolipoprotein E ε4,interacted with,sleep disturbances
cognitive decline,associated with,sleep impairment
greater baseline tau in Braak 4 region,was associated with,sleep impairment
tauopathy,associated with,sleep impairment
regulation of interstitial and cerebrospinal fluid (CSF) tau levels,is influenced by,sleep-wake cycle
those with no apparent cause,observed,slightly steeper cognitive decline
higher Aβ(1-38) levels,were associated with,slower CDR-SB
antidiabetic medication,was associated with,slower cognitive decline
antidiabetic medication,was linked to,slower cognitive decline
depression,associated with,slower cognitive decline
low baseline functioning,was associated with,slower cognitive decline
visual impairment,associated with,slower cognitive decline
higher plasma carotenoid concentrations,were associated with,slower cognitive decline in APOE ε4 carriers
higher β-amyloid scores,were associated with,slower global cognitive decline
Higher Aβ(1-38) levels,were associated with,slower PACC
AGB101,is associated with,slowing entorhinal cortex atrophy
findings,were inconsistent,small cohort sizes
inconsistent findings,because,small cohort sizes
age and apoE ε4 adjustments,provided,small improvement in predictive power
imputation of biomarker values outside limit of quantitation,provided,small improvement in predictive power
multi-modal lifestyle intervention,improves,small vessel disease
higher p-tau,associated with,smaller amygdala
higher t-tau,associated with,smaller amygdala
lecanemab,resulted in,smaller decline on measures of cognition and function
lecanemab,resulted in,smaller decline than the placebo
Lecanemab,resulted in,smaller decline than the placebo on measures of cognition and function
higher p-tau,associated with,smaller hippocampus
higher t-tau,associated with,smaller hippocampus
causal associations,were not influenced by,SNPs
causal associations,were not affected by,SNPs
multivariable MR analyses,were performed to determine whether,SNPs contributed to breast cancer risk
two-sample Mendelian randomization (MR) analyses,were performed to determine whether,SNPs contributed to breast cancer risk
medical conditions,are influenced by,social determinants of health
minoritized groups,because of,social determinants of health
these associations,is influenced by,sociodemographic factors
atrophy and decline,are triggered by,soluble Aβ dyshomeostasis
EM decline,are triggered by,soluble Aβ dyshomeostasis
MTL longitudinal atrophy,are triggered by,soluble Aβ dyshomeostasis
imbalance,be due to,soluble species
models,were associated with,somatization
APOE ε4 carriers,compared to,SomCom
cognitive abilities,to,some extent
latent causal variable analysis,showed that,some of these genetic correlations could be due to cause-effect relationships
amyloid beta (Aβ) deposition,in,some pathological stages
DLB,can be predicted by,something
LPCAT2,played a causal role for,something
Plasma tau phosphorylated at threonine 231,predicted,something
studies in brain organoids,revealed,something
Total tau,predicted,something
PD motor progression,is caused by,something else
SNPs,are significantly associated with,SPARE-AD
potential power loss,was due to,sparse testing
potential power loss,due to,sparse testing
potential power loss for detecting treatment effect,due to,sparse testing
power loss,due to,sparse testing
deep predictive neural network,exploit,spati
association of PET with measures of cognition,is associated with,spatial distribution of tau
measures of cognition,associated with,spatial distribution of tau
PET,is associated with,spatial distribution of tau
PET,associated with,spatial distribution of tau
tau,associated with,spatial distribution of tau
usefulness of PET,is associated with,spatial distribution of tau
usefulness of PET,associated with,spatial distribution of tau
synapse disruption in the hippocampus,was associated with,spatial learning deficits
lower hippocampal volume,was associated with,spatial memory decline
deep predictive neural network,is built to exploit,spatiotemporal dynamics
model performance,was assessed using,Spearman's correlation
model performance,was assessed using,Spearman's correlation between predicted and observed PET binding standard uptake value ratios
imbalance,might be due to,species
imbalance,might be due to,species heterogeneity
CSF biomarker profile,does not impact,specific cognitive domains
CSF biomarker profile associated with AD,does not impact,specific cognitive domains
causal relationship,between,specific dietary factors
elucidating the causal relationship,between,specific dietary factors and Alzheimer's disease risk
apolipoprotein E ε4 allele,are present,specific disease processes
Hcy,depending on,specific disease processes
causal inference analyses,identified,specific gene-disease links
cerebral small vessel disease conditions,are associated with,specific inflammatory cytokines
Alzheimer's disease pathogenesis,is caused by,specific lipid metabolites
Application of WZ4003 to live human brain slice cultures,results in,specific lowering of p-tau Ser356
brain Aβ burden,is associated with,specific microbial taxa
multidomain intervention,enhances,specific neurophysiological activities associated with memory function
motor severity,were associated with,specific α-synuclein topographies
visual hallucinations,were associated with,specific α-synuclein topographies
Aβ deposition,is modulated by,specific risk factors
grey matter volume,is modulated by,specific risk factors
its impact,is modulated by,specific risk factors
genes like SLC25A38,emerged as,specifically
Genes like SLC25A38,were highly predictive,specifically
genes like SLC25A38,emerged as,specifically predictive for PD
apolipoprotein E (ApoE) isoforms,impact of,sporadic Alzheimer's disease
chronic inflammation-driven mechanism,may cause,sporadic neurological disorders
microtubule-associated protein tau pathology,progresses due to,spreading of misfolded microtubule-associated protein tau
progression of microtubule-associated protein tau pathology,is due to,spreading of misfolded microtubule-associated protein tau along neuronal networks
Misfolded tau proteins,is associated with,spreading through functional connections
Misfolded tau proteins,in,spreading through functional connections
dynamic changes in plasma NfL levels,are associated with,SSD
findings,are associated with,SSD
findings,suggest that,SSD is associated with cognitive deterioration over a 2-year period
model,is capable of accurately predicting,stage progression
model,accurately predicts,stage progression of individuals
model,can accurately predict,stage progression of individuals
process,treat each item as,standalone sentence
Proteomic markers in plasma,did not add predictive value to,standard AD pathologic plasma biomarkers
Alzheimer disease (AD) dementia,is associated with,statin initiation
APOE ε4 allele,is associated with,statin initiation
Apolipoprotein E locus,with,statin treatment
PCA modeling,is a type of,statistical analysis
reverse MR analyses,identified,statistical causal effects of genetically predicted AD
difference in blood biomarkers between the two groups,was not,statistically significant
difference in NfL concentration between the two groups,was not,statistically significant
conversion from MCI to dementia,was associated with,statistically significant association
NE3107,was associated with,statistically significant improvements in ADAS-Cog11
NE3107,was associated with,statistically significant improvements in the Alzheimer's disease Score
NE3107,was associated with,statistically significant improvements in the Clinical Dementia Rating
NE3107,was associated with,statistically significant improvements in the Quick Dementia Rating Scale
higher tau burden,was associated with,steeper decline in memory and speed
higher baseline pTau-181,was associated with,steeper declines in total gray matter volume
longitudinal increases in plasma NTA-tau levels,were associated with,steeper decrease in cognition
longitudinal increases in plasma NTA-tau levels,were associated with,steeper decrease in cortical thickness
longitudinal increases in plasma NTA-tau levels,were associated with,steeper decreases in cortical thickness and cognition
it,is associated with,steeper decreases in hippocampal volumes over time
higher plasma NfL levels,were associated with,steeper increases in ADAS-Cog scores
it,is associated with,steeper increases in ADAS-Cog scores
longitudinal increases in plasma NTA-tau levels,were associated with,steeper longitudinal decreases in cognition
longitudinal increases in plasma NTA-tau levels,were associated with,steeper longitudinal decreases in cortical thickness
apathy,was associated with,steeper rise in plasma neurofilament light chain
predictive nomogram,was constructed using,stepwise backward regression method
predictive abilities,were investigated using,stepwise regression analyses
agent,has the ability to,stimulate stress management and repair pathways
hydralazine,has the ability to,stimulate stress management and repair pathways
cerebrospinal fluid (CSF) C1q,is associated with,sTREM2
CSF C1q levels,association between,sTREM2 levels
CSF C1q levels,associated with,sTREM2 levels
methods,were used to,strengthen findings
negative external stimuli,can generate,stress
recruitment of Tau proteins,into,stress granules
Tau pathogenesis,is likely caused by,stress/glucocorticoids
death,following,stroke
It,contributes to,stroke
it,contributes to,stroke
Neuroinflammation,contributes to,stroke
neuroinflammation,contributes to,stroke
BD-tau,is associated with,stroke diameter
molecular docking,predicted,strong binding affinity to PDK1
subsequent molecular docking,predicted,strong binding affinity to PDK1
plasma phospho-tau 217 measured by Lumipulse platform,demonstrated,strong predictive power
platform,demonstrated,strong predictive power
APOE4 carriers,were associated with,stronger amyloid-β and tau
activation of caspase signal pathway,was the reason for,stronger apoptosis
men,showed,stronger association with all-cause dementia
higher sTREM2,with,stronger associations in women
P-Tau measures,are associated with,stronger cognitive functions
combining pTau-217 and NTA-tau,resulted in,strongest agreement with the tau PET-based classification
observational investigations,suggest that,structural and diffusion imaging-derived phenotypes (IDPs)
observational investigations,suggest that,structural and diffusion imaging-derived phenotypes (IDPs) are associated with major neurodegenerative diseases
Previous observational investigations,suggest that,structural and diffusion imaging-derived phenotypes (IDPs) are associated with major neurodegenerative diseases
disorder,results in,structural brain changes
modifications,lead to,structural changes in tau
baseline flortaucipir F 18 PET regional patterns,associated with,structural MRI grey matter volumes
