E1,Relation,E2
reduction in patients requiring CGM training,is expected to cause,drop in GP practice-based activity after the first year
reduction in risk,was due to,diabetic nephropathy
reduction in TAR and insulin requirements,was due to,TIR exceeding 70% by day 5
reduction in TAR and insulin requirements,was due to,TIR exceeding 70% from day 2
reduction in the burden of type 2 diabetes mellitus,attributable to,low birth weight
reduction of adenosine triphosphate (ATP) production,is caused by,malfunctioning mitochondria
reduction of left atrium volume index,in the group with,left ventricle dysfunction
reduction of Left atrium volume index,in the group with,Left ventricle dysfunction
reduction of LPS release,led to,intestinal inflammation
reduction of pathogenic bacteria,led to,accumulation of propionic and valeric acids
reduction of pregnancy terminations,associated with,use of contraception
reduction of SGLT2i,results in,reduced levels of growth factors involved in cardiovascular diseases
reduction of unplanned pregnancies,associated with,use of contraception
reduction of unplanned pregnancies,is associated with,use of contraception
reductions,were associated with,HR and CI values
reductions in CVD risk,were associated with,HR and CI values
reflexive increase in blood pressure,is caused by,autonomic nervous system
reflexive increase in blood pressure,through,autonomic nervous system
reflexive increase in blood pressure,is caused by,muscle contractions
reflexive increase in blood pressure,is caused by,muscle contractions through the autonomic nervous system
reflexive increase in sympathetic nerve activity,is caused by,autonomic nervous system
reflexive increase in sympathetic nerve activity,is caused by,muscle contractions
reflexive increase in sympathetic nerve activity,is caused by,muscle contractions through the autonomic nervous system
regimen,is for,targeted metabolic phenotype
regulating endoplasmic reticulum stress,leads to,improvement in its complications
regulating miR-497-5p,provides,lung cancer targeted treatment
regulating miR-497-5p,provides,potential targeted therapy for lung cancer treatment
Regulating miR-497-5p,provides,potential targeted therapy for lung cancer treatment
regulation of HNF-1α and SREBP-1c in the liver,is due to,piperine treatment
regulation of inflammatory gene expression,are caused by,NF-κB
regulation of stress,leads to,improvement in diabetes
REHIT group,significantly improved,BI
REHIT group,significantly improved,FMA-LE
relationship,was associated with,body mass index (BMI)
relationship,was associated with,fasting insulin
relationship,was associated with,frequency of alcohol consumption
relationship,was associated with,lifetime smoking index
relationship,is associated with,pancreatitis
relationship,is influenced by,relevant factors
relationship,was particularly associated with,type 2 diabetes
relationship,was associated with,type 2 diabetes mellitus (T
relationship,was associated with,type 2 diabetes mellitus (T2DM)
relationship and pathomechanism of diabetes-induced gangrene,is still,unclear
relationship between C-reactive protein-triglyceride-glucose index and all-cause and cardiovascular mortality,remains,unclear
relationship between Nontoxic goitre traits and type 2 diabetes mellitus,is unclear due to,confounding variables
relationship between Type 2 diabetes mellitus,and,adverse cardiac remodelling
relationship of T2DM with all-cause mortality,is mediated by,cognitive impairment
relationships,whether there is any,causal connection
relationships,might be,confused
relationships between entities,based on,"verbs, prepositions, and semantic meaning"
reliance on lipid oxidation,is caused by,hypoglycaemia
relief of glucolipid metabolic stress,was due to,contribution of EA at ST25
renal function,are intimately associated with,facial and tongue features
renal function,is impacted by,SGLT2
renal protective effects,contribute to,reducing the incidence of severe chronic kidney disease CKD and renal failure
research,goal of,determine whether CCN5 can serve as a predictive marker
research,is in the context of,non-diabetes states
research,includes,studies in the context of Type 2 diabetes mellitus and non-diabetes states
research,is in the context of,Type 2 diabetes mellitus
researcher,used,algorithms
researchers,examined,causal relationships between IBD and diabetes mellitus
researchers,aimed to investigate,causal role of GIPRAs on Non-alcoholic fatty liver disease
researchers,aimed to investigate,causal role of GIPRAs on non-alcoholic fatty liver disease
researchers,aimed to investigate,causal role of glucose-dependent insulinotropic polypeptide receptor on Non-alcoholic fatty liver disease
researchers,utilized,data mining approach
researchers,highlighted,glucagon-like receptor agonist
researchers,found no,impact
researchers,have investigated,impact of antihypertensive medications on type 2 diabetes mellitus
researchers,found,no significant causal link between Type 2 diabetes mellitus and Alzheimer's disease
researchers,observed,positive causal association between walking pace and leukocyte telomere length
researchers,are investigating,potential pathophysiological mechanisms of type 2 diabetes mellitus impact on PaCa
researchers,found that,presence of a new compound
researchers,conclude that,serum PEN strongly associated with BMI
researchers,undertaking,studies in this field
researchers,conducting,study
researchers,can use,this review
researchers or authors,aimed to investigate,causal role of glucose-dependent insulinotropic polypeptide receptor
researchers or investigators,revealed,influence of psychosocial factors
researchers or investigators,found,no significant impact of SGLT2 inhibitors on depression in type 2 diabetes mellitus patients
researchers or investigators,conducting,the study
researchers or study authors,identified,independent genetic variants strongly associated with 14 metabolic factors
Researchers or study authors,identified,independent genetic variants strongly associated with 5 lifestyle factors
resistin,were causally associated with,abnormal spermatozoa
resistin,associated with,abnormal spermatozoa
resistin,associated with,abnormal spermatozoa in male infertility
response,was due to,upregulating anti-ROS
restoration of sperm production,was due to,regulating ROS levels
restoration of sperm production,was due to,upregulating anti-ROS
restoration of testicular function,was due to,regulating ROS levels
restoration of testicular function,was due to,upregulating anti-ROS
restricted cubic spline (RCS) regression models,were used to,evaluate the association between Triglyceride-glucose index and all-cause/cause-specific mortality
restricted cubic spline analyses,were used to,"evaluate the associations of Glycaemic variability with 90-day, 1-year, and 3-year all-cause mortality"
result,was not significant for,causal association between dysglycemic traits and vitiligo
result,was statistically significant with,p value of 0.018
result,was significant because,P<0.001
result being significant,because,P was less than 0.001
results,suggest,candidate causal regulatory variants
results,indicating,causal relationship
results,should be interpreted with,caution
results,contribute to,development of more effective exercise prescription guidelines
results,contribute to,health actions
results,are due to,heterogeneity in clinical trial results
results,showed,higher predictive value
results,are due to,limited synthesis of human evidence
results,were indicating,no causal relationship
results,were compared to,positive control
results,showed that,vitamin E was an independent influencing factor for insulin resistance
results and conclusions of the study,reveal,blood group A allele is associated with an increased risk of multiple CMD
results and conclusions of the study,reveal that,blood group A allele is associated with an increased risk of multiple CMD under the additive model
results and conclusions of the study,reveal that,blood group A allele is associated with increased risk of multiple CMD
results in the intermittent fasting group,did not meet,criteria
results in the intermittent fasting group,were not meeting,criteria
results in the intermittent fasting group,did not meet,criteria for statistical significance
results in the intermittent fasting group,were not,significant
results in the intermittent fasting group,did not meet,statistical requirements
results in the intermittent fasting group,were not meeting,statistical requirements
results of 26 datasets,showed,no causal relationship between T2DM and AD
results of the GSH analysis,were compared to,positive control
results of the study,are not conclusive,due to
results of the study,referred to as,RESULTS
results of the study,are not conclusive due to,small sample size and high risk of substantial biases
Retinol binding protein 4,effects of were examined,pancreatic β-cell function
Retinol binding protein 4 levels,are associated with,insulin resistance
Retinol binding protein 4 levels,are associated with,pancreatic β-cell function
retinol binding protein 4 levels,are associated with,type 2 diabetes mellitus
Retinol binding protein 4 levels,are associated with,type 2 diabetes mellitus
reverse analyses,no causal relationship was found in,T2DM
reverse causal association,was observed,no
reverse MR analysis,used to determine,causal relationship between PBC and DM(T1DM or T2DM)
reverse MR analysis,was also done to determine,causal relationship between PBC and DM(T1DM or T2DM)
reverse MR analysis,was also performed,causal relationship between Type 2 diabetes mellitus and Inflammatory bowel disease
reverse MR analysis,used for,determining the causal relationship between PBC and DM(T1DM or T2DM)
reverse MR analysis,indicated,no significant causal association between preeclampsia type 2 diabetes mellitus T2DM
Reverse MR analysis,assessed,potential impact of SHL and ISHL on metabolic factors
reversed symptoms,after,years
review,is about,canakinumab
review,examines,effectiveness of menopausal hormone therapy in reducing the risk of developing type 2 diabetes mellitus in menopausal women
review,is on,glycometabolic gastrointestinal hormones
review,focuses on,impact of soluble cereal fiber
review,analyzed,impact of T2DM
review,analyzed,impact of T2DM on Parkinson's disease incidence and progression
review,analyzed,impact of T2DM on Parkinson's disease incidence and progression in Parkinson's disease cohorts
review,analyzes,sex differences
rheumatoid arthritis,causal connections between,ALS
Rheumatoid arthritis,increases the risk of,Alzheimer's disease
rheumatoid arthritis,causal connections between,Alzheimer's disease atypical or mixed (AM) Alzheimer's disease
Rheumatoid arthritis,has a causal impact on,amyotrophic lateral sclerosis
rheumatoid arthritis,causal connections between,early-onset Parkinson's disease
rheumatoid arthritis,associated with,late-onset Alzheimer's disease
rheumatoid arthritis,has a significantly positive causal relationship with,late-onset Alzheimer's disease
Rhodospirillales,was associated with,T2DN
rigorous research approach,examine,causal connection between Nontoxic goitre traits and Type 2 diabetes mellitus
rise in consumption,has been associated with,negative health outcomes
rise in incidence of metabolic diseases,occurred,worldwide
risk,was elevated,administering simvastatin
risk,was associated with,autoimmune T2DM
risk,is due to,dyslipidemia
risk,was associated with,focal epilepsy
risk,was associated with,genetic predisposition
risk,is due to,metabolic disorders
risk,is associated with,Type 2 diabetes mellitus
risk allele of the zinc transporter 8 gene (SLC30A8) single-nucleotide poly-morphism (SNP) rs13266634,may contribute to,type 2 diabetes mellitus susceptibility
risk allele of the zinc transporter 8 gene (SLC30A8) single-nucleotide poly-morphism (SNP) rs13266634,is associated with,type 2 diabetes mellitus susceptibility
risk factors,related to,amino acid metabolism
risk factors,related to,glycolipid metabolism
risk factors,related to,inflammation
risk factors,mediate the causal relationship,No
risk factors,associated with,pancreatitis
risk factors,associated with,pancreatitis and its subtypes
risk factors,were associated with,pancreatitis and its subtypes
risk factors and clinical outcomes,assessed,simultaneously
risk of all-cause mortality,for,low PNI group
risk of all-cause mortality,is the same as,S4
risk of all-cause mortality,increased with,sleep duration that exceeded 9 hours per day
risk of all-cause mortality,was examined,young-onset T2DM patients in China
risk of blood glucose fluctuation parameters,can predict,chronic pain in older patients with type 2 diabetes mellitus
risk of cardiovascular disease CVD,is influenced by,genetic factors
risk of cardiovascular disease CVD,is influenced by,lifestyle choices
risk of death,associated with,blood Glucose (BG) quartiles
risk of death,associated with,Metabolic Syndrome quartiles
risk of death,associated with,Triglyceride-Glucose Index quartiles
risk of developing IBD,is associated with,AMPK
risk of developing T2DM and CAD,is positively associated with,CCN5 serum levels
risk of DKD,could be predicted by,system
risk of DR,is increased in,T2DM
risk of esophageal cancer (EC),is associated with,type II diabetes mellitus (T2DM)
risk of insulin resistance in type 2 diabetes mellitus patients,increases as,serum vitamin E levels
risk of OLP,is related to,potential causal relationships between diabetes type and glycated hemoglobin (HbA1c) levels
risk of T2DM,is influenced by,changed brain functional network connectivity
risk of T2DM,is associated with,changed brain functional network connectivity
risk of T2DM,is associated with,changed sleep habits
risk of T2DM,may be associated with,gut microbiome
risk of T2DM,associated with,lead and arsenic exposure
risk of T2DM,may be associated with,lead and arsenic exposure
risk of T2DM,related to,lead and arsenic exposure
risk of T2DM,may be related to,lead and arsenic exposure
risk of T2DM,is among,middle-aged and older adults
risk of T2DM,is influenced by,sleep habits
risk of Type 2 diabetes mellitus,is being predicted using,standard practice of the QDiabetes score
robust evidence,was demonstrated for,independent causal effect of serum alanine aminotransferase
ROC analysis,revealed that,five insulin resistance-related indices
ROC analysis,indicated,moderate predictive power
ROC analysis,incorporating,ORM2 and metabolic variables
ROC analysis incorporating ORM2 and metabolic variables,demonstrated,strong predictive capability for Metabolic dysfunction-associated fatty liver disease
role of diabetes nurse specialists,strengthening,managing diabetes mellitus and its complications
role of metformin,concerning,inhibition of reactive oxygen species (ROS) formation
ROS production,causes,β-cell failure
rotator cuff syndrome,causal relationship with,several risk factors
rotator cuff syndrome,causal relationship between,type 2 diabetes mellitus
route of Insulin administration,have been shown to influence,bone-related outcomes
Roux-en-Y gastric bypass,may be associated with,increased intestinal glucose excretion
rs11558538 SNP,is associated with,diabetic retinopathy risk
rs11558538 SNP,of,HNMT gene
rs11558538 SNP of the HNMT gene,is associated with,diabetic retinopathy risk
Rs11569562,may be associated with,coagulation molecules
Rs11569562,may be associated with,lipid levels
rs4885322 single-nucleotide polymorphism,is associated with,diabetic retinopathy risk
rs4885322 single-nucleotide polymorphism,of,UCHL3 gene
rs7901695,in the,TCF7L2 gene
rs7901695 site of the TCF7L2 gene,interaction of,cg06500161 site of the ABCG1 gene
rs7901695 site of the TCF7L2 gene,interact with,environmental factors
rs7903146 polymorphism,impact of,different ethnic groups
RSL-3,inhibited,activation of the xCT/GPX4 pathway
RSL-3,inhibited,ferroptosis caused by Plantamajoside
RSL-3,blocked,protective effect of Plantamajoside on pancreatic β-cell damage
RSL-3,attenuated,protective effects of Plantamajoside
RSL-3,blocked,xCT/GPX4 pathway
S1,is a duplicate of,was removed
S12,has causal links with,these genes
S2,is a duplicate of,it
S3,were attributed to,IVs
S4,were attributed to,IVs
S4,is not needed because,the given input sentence has only 3 independent clauses
S9 and S10,are redundant with,S5
SADJB-SG,could contribute to explain,observed glycemia increment
safety,demonstrate,transition to IDegAsp in type 2 diabetes mellitus (T2DM)
Salad/raw vegetable intake,is significantly inversely associated with,PUs
salivary secretion pathway,is where,expression of signaling molecules
salivary secretion pathway,is where,signaling molecules are expressed
samples,were of,Type 2 diabetes mellitus patients
sarcopenia,leads to,low physical performance
sarcopenia,is associated with,lung diseases
sarcopenia-related traits,causal relationship between,ischemic stroke
SARIMA,used to,predict blood glucose levels
SARIMA,used in,time series analysis and forecasting
SARS-CoV-2,causes,the disease
SARS-CoV-2 infection,highlights the,varied and widespread impacts
Satureja Khuzestanica supplementation,led to,significant decrease in LDL-cholesterol levels
SBP,are important mediators in the causal relationship between,Type 2 diabetes mellitus and left ventricular mass index
SBP variation,were significant predictors of,all-cause mortality in patients with T2DM
scan frequency,positive correlation between,protein intake
scan frequency,has negative correlation with,TAR
SCFAs,regulate,SCFA composition
SCFAs,regulate,SCFA production
scientists,have gained considerable attention from,treatment of diabetes
score,as,predictive biomarker
score,indicated,quality
screening for lipid dyslipidemia,may lead to,new personalized treatment approaches
sd LDL,within,HDL cholesterol and triglycerides pathways
SDM,is not commonly utilized,routine care settings
Sechium edule (S. edule),has emerged as,a complementary option
Sechium edule (S. edule),due to,its bioactive compounds
second highest risk factor,associated with,T2DM
second stimulus,is associated with,reduced hepatic PTEN
secondary outcomes,include,All-Cause Mortality (ACM)
secondary outcomes,include,Major Cardiovascular Events (MCVE)
secretion of adipocytokines,lead to,inflammation of adipose tissue
secretion of adipocytokines,leads to,inflammation of adipose tissue
secretion of adipocytokines,contribute to,inflammation of adipose tissue
secretion of adipocytokines,is caused by,inflammatory substances
secretion of adipocytokines,can contribute to,insulin resistance
secretion of adipocytokines,contributes to,insulin resistance
secretion of adipocytokines,contribute to,insulin resistance
secretion of adipocytokines,are causes of,insulin resistance and β cell dysfunction
secretion of adipocytokines,can contribute to,β cell dysfunction
secretion of adipocytokines,contributes to,β cell dysfunction
secretion of adipocytokines,contribute to,β cell dysfunction
secretion of these inflammatory substances,contribute to,inflammation of adipose tissue
sedentary lifestyles,has contributed to,increase in the prevalence of obesity and TD2M
self-awareness of glucose fluctuations,contributed to,behavioral change
self-confidence,was not associated with,blood pressure
self-confidence,was positively associated with,BMI
self-confidence,was not associated with,HbA1c
self-confidence,was not associated with,QoL
self-efficacy,contributes to,treatment satisfaction
self-monitoring,reduced,blood pressure
self-monitoring,reduced,BMI
self-monitoring,was negatively associated with,QoL
Semaglutide,did not significantly influence,ERK1/2
semaglutide,could contribute to,treatment of psoriatic obese patients with T2DM
Semaglutide treatment,improved,glucose tolerance in HFD mice
Semaglutide treatment,led to,significant and sustained reduction in body weight
Semaglutide's pro-apoptotic effects in oral squamous cell carcinoma cells,were related to,P38 pathway activation
senescence of cardiomyocytes,is associated with,inferior cardiac function
sensitivity analysis,was performed to quantify the impact of,each study on the overall effect size in mean difference HbA1c%
sensitivity analysis,was performed using,leave-one-out meta-analysis
sensitivity analysis,was performed with,leave-one-out method
sensitivity tests,supported,causal link between T2DM and PaCa
sensory fibers in the sural nerve,are influenced,conduction velocities
series of analyses,were performed to,select eligible genetic instruments
series of experiments studies,indicate,RBP4 has a significant influence on type 2 diabetes mellitus
serious cases,can lead to,death
serious outcome,include,death
serious outcome,or,death
serious outcome,include,septic shock
serum 25-hydroxyvitamin D levels,were negatively associated with,GV parameters
serum 25-hydroxyvitamin D levels,were negatively associated with,hemoglobin A1c (HbA1c)
serum 25-hydroxyvitamin D levels,were negatively associated with,HOMA-IR
serum 25-hydroxyvitamin D levels,were negatively associated with,time above range
serum alanine aminotransferase level increase per standard deviation,increased,diabetic retinopathy risk
serum albumin levels,are associated with,greater risk of metabolic syndrome (MetS)
Serum albumin levels,were associated with,its components
serum Ca,associated with,TyG index increase
serum calcium,was positively associated with,calcific aortic valvular stenosis CAVS
serum calcium,was positively associated with,coronary artery calcification
serum cholinesterase,is associated with,various chronic inflammatory conditions
Serum cholinesterase concentrations,are associated with,increased insulin resistance
Serum cholinesterase concentrations,are significantly increased in,patients with Type 2 Diabetes mellitus
Serum cholinesterase concentrations,are associated with,poor glycemic control
serum ferritin,is positively associated with,FBs
serum ferritin,is positively associated with,HbA1c
serum IL-22,implies,circulating IL-22 may be a predictive biomarker
serum iron level,was associated with,elevated serum ferritin
serum microRNA-450a-5p content,was significantly positively associated with,cholesterol
serum microRNA-450a-5p content,was significantly positively associated with,low-density lipoproteins-cholesterol levels
serum microRNA-450a-5p content,was associated with,triglycerides
serum PEN,associated with,BMI
serum PEN,have highest levels in,obese women type 2 diabetes mellitus T2DM
serum samples,belonged to,patients
serum soluble asialoglycoprotein receptor 1,demonstrates,limited predictive value for the onset of T2DM
serum soluble asialoglycoprotein receptor 1 levels,are positively associated with,estimated glomerular filtration rate (eGFR)
serum tumor markers of the digestive tract,are associated with,glucose and lipid metabolic disorder
serum uric acid,causal relationship between,diabetic microvascular complications
serum uric acid levels,could predict,islet β-cell activity
serum uric acid-to-high-density lipoprotein cholesterol ratio,was associated with,HOMA-IR in patients with type 2 diabetes insulin resistance
serum uric acid-to-high-density lipoprotein cholesterol ratio,relationship to be examined,insulin resistance
serum vitamin E levels,decreases,risk of insulin resistance in type 2 diabetes mellitus patients
session of this exercise,positively impacts,glucose regulation
session of this exercise,positively impacts,myokine modulation
seven drug targets,associated with,five antidiabetic drugs
seven drug targets,identified as,significantly related to male infertility
several complications,including,complications of kidney disease
several factors,influenced,cognitive function
several SNPs,were associated with,insulin resistance traits
severe autoimmune type 2 diabetes,causal association exists between,focal epilepsy
severe autoimmune type 2 diabetes,causes,focal epilepsy
severe dyslipidemia,is the second top risk factor associated with,heart failure
severe insulin resistance phenotype in female patients,was associated with,increased risk of high CVD
severe insulin resistance phenotype in female patients,was associated with,increased risk of metabolic syndrome
severe periodontitis,caused by,prolonged hyperglycemia
severity of periodontal destruction,may have been influenced by,presence of diabetic retinopathy
sex differences,might cause,dichotomy in responses
sex of the individual,influenced,muscular adaptations
SGLT2,has an impact on,renal function
SGLT2 inhibition,has impact on,kidney function
SGLT2 inhibition,causes,prostate cancer
SGLT2 inhibition,is linked to,prostate cancer
SGLT2 inhibitors,reduce,all-cause mortality
SGLT2 inhibitors,assessed impact on,cardiovascular risk scores
SGLT2 inhibitors,on,"cardiovascular risk scores, metabolic parameters, and laboratory profiles"
SGLT2 inhibitors,had no significant impact on,depression in type 2 diabetes mellitus patients
SGLT2 inhibitors,no significant impact on,depression in type 2 diabetes mellitus patients
SGLT2 inhibitors,impact on,depression in type 2 diabetes mellitus patients
SGLT2 inhibitors,influence,depression risk
SGLT2 inhibitors,compared with,insulin
SGLT2 inhibitors,assessed impact on,laboratory profiles
SGLT2 inhibitors,assessed impact on,metabolic parameters
SGLT2 inhibitors,impact of,mortality
SGLT2 inhibitors,impact on,mortality following MI
SGLT2 inhibitors,are associated with,reduced male infertility
SGLT2 inhibitors,can influence,tumor glycolysis
SGLT2 inhibitors,influence,tumor glycolysis
SGLT2 inhibitors,are medications for,type 2 diabetes mellitus
SGLT2i,can lead to,calcification
SGLT2i,is a potential treatment for,cardioprotective effects of the FOXO1-ANGPTL4 axis
SGLT2i,exerts its action on,FOXO1-ANGPTL4 pathway
SGLT2i,action on,FOXO1-ANGPTL4 pathway
SGLT2i,were associated with,lower rate of cardiac events
SGLT2i,influence,mitochondrial function
SGLT2i,can lead to,reduced vascular stiffness
SGLT2i,influence,various cell types
she,can withstand,her diabetic profile
she,can able to withstand,her diabetic profile
she,needs no,pharmacotherapy intervention
Shen-Ling-Bai-Zhu-San (SLBZS) or prebiotics,combining with,intermittent fasting
short sleep duration,was associated with,risk of MS
short-chain fatty acids,cause,acute counteraction of insulin resistance and inflammation
short-term glucose fluctuations,are associated with,cognition
short-term glucose fluctuations,are associated with,higher risk of PSCI
short-term quantitative impact,of,lipid levels
short-term quantitative impact of exercise,on,lipid levels
short-term quantitative impact of exercise on lipid levels,may be,limited
shorter diabetes duration,is associated with,higher odds of diabetes remission
shorter duration of education,is associated with,lower serum IGFBP-3 levels
shorter duration of education,are associated with,T2DM-MCI
shorter duration of education,is associated with,T2DM-MCI
shorter telomere leukocyte telomere length,has causal relationship with,low muscle mass
shorter telomere leukocyte telomere length,has causal relationship with,low muscle strength
side effects of oral hypoglycemic drugs,lead to,insulin resistance
side effects of oral hypoglycemic drugs,can cause,insulin resistance
side effects of oral hypoglycemic drugs,due to,treatment of Type 2 diabetes mellitus
signaling molecules,are expressed in,salivary secretion pathway
signaling molecules,was detected in,salivary secretion pathway
signatures,are associated with,subtype of nephropathy
significant blood metabolites,contributing to,T2DM-ALS relationship
significant factor,in the link between,T2DM and all-cause mortality in older individuals
significant impact,on,affected population
significant morbidity,leads to,mortality
significant prevalence of Type 2 diabetes mellitus and prediabetes,does not impact,presentation or complications of Primary hyperaldosteronism
significantly higher fasting plasma glucose,as compared to,BE
significantly lower blood glucose,compared to,placebo
significantly lower glucose area under the curve (AUC(0-240)),compared to,soy-based regular smoothie
significantly lower glucose area under the curve (AUC(0-240)),compared to,standard DSNF
significantly lower plasma insulin levels,compared to,placebo
significantly lower postprandial glucose responses in healthy subjects,relative,conventional white rice WR
single causal variant,with,CVDs
single inflammatory parameter,cannot accurately predict,prognosis of Diabetic retinopathy
single lipid parameter,cannot accurately predict,prognosis of Diabetic retinopathy
single lipid parameter,or,single inflammatory parameter
single nucleotide polymorphisms,selected for in,East Asians
single nucleotide polymorphisms,selected for in,Europeans
single nucleotide polymorphisms (SNPs),associated with,confounders or outcomes
single nucleotide polymorphisms (SNPs),excluded by,consulting the PhenoScanner database
single nucleotide polymorphisms (SNPs),were significantly associated with,diabetes
single nucleotide polymorphisms (SNPs),were associated with,diabetes
single nucleotide polymorphisms (SNPs),were selected as,instrumental variables
single nucleotide polymorphisms (SNPs),were selected as,instrumental variables (IVs)
single nucleotide polymorphisms (SNPs),were closely associated with,T2DM
single session of moderate-intensity exercise,positively impacts,glucose regulation
single session of moderate-intensity exercise,positively impacts,myokine modulation
single SNP,was associated with,MCVE - WSF1
single-nucleotide polymorphism,is associated with,diabetic retinopathy risk
Sitagliptin + metformin therapy,compared with,metformin group
Sitagliptin + metformin therapy,led to,"significantly greater improvements in FBS, TC, TG, SGPT, vitD3, and TG-G"
six blood lipids,among,low-density lipoprotein cholesterol (LDL-C)
six out of nine markers,were associated with,diabetic retinopathy
six significant pathways,associated with,T2DM development
sixteen-weeks randomized controlled trial,aimed to assess the impact of,structured exercise manual interventions
skeletal muscle atrophy,is associated with,insulin resistance
skin autofluorescence,can be used to predict,long-term outcomes
skin autofluorescence,is associated with,risk
skin microbiome,is associated with,T2DM
skin microbiome,is a factor in,T2DM
skipping breakfast,led to,higher post-lunch glucose excursions
SLAMF6,was associated with,negative effects
sleep disorders,include,factors
sleep habits,significantly influence,risk of T2DM
sleep habits,contribute to,risk of T2DM
sleep patterns,were associated with,T2DM
sleeping 5-6 hours,increased the risk of,T2DM
sleeping 6-8 hours,increased the risk of,T2DM
sleeping 8-9 hours,increased the risk of,T2DM
sleeping less than 5 hours,increased the risk of,T2DM
sleeping more than 8 hours,increased the risk of,T2DM
small sample size,due to,results of the study are not conclusive
SMMC,resulted in,significantly lower glucose area under the curve (AUC(0-240))
smoking,partially mediated,causal relationship between Type 2 Diabetes Mellitus and FEV1 and FVC
smoking,is associated with,eGFR decline
smoking,associated with,higher diabetes risk
smoking,contribute to,T2DM
smoking initiation,may mediate,causal effect of Television (TV) viewing on diseases
smoking status,influenced,associations between Type 2 diabetes mellitus and glycated hemoglobin with vascular and valvular calcifications
snack,can be suggested as,nutritious and convenient snack for patients with type 2 diabetes mellitus
SNP-CG site cg06500161,of,ABCG1
SNP-CG site cg06500161 of ABCG1,is associated with,T2DM
SNP-module analyses,point to,possible causal dysfunction in innate immunity
SNPs,are associated with,diabetic retinopathy onset
SNPs,are associated with,frailty
SNPs,were associated with,progression to DKD
society,are impacted by,T2DM
Socioeconomic factors,influenced,risk factor control
socioeconomic factors,influenced,risk factor control
Sodium-glucose cotransporter 2 inhibition,reduces,risk of acute kidney injury
sodium-glucose cotransporter-2 inhibitors,impact on,myocardial infarction mortality
Sodium-glucose cotransporter-2 inhibitors,impact on,myocardial infarction mortality
Sodium-glucose cotransporter-2 inhibitors,had an impact on,myocardial infarction mortality
sodium-glucose cotransporter-2 inhibitors,had impact on,myocardial infarction mortality
Sodium-glucose cotransporter-2 inhibitors,impacted on,myocardial infarction mortality
sodium-glucose cotransporter-2 inhibitors,impact,myocardial infarction mortality
Sodium-glucose cotransporter-2 inhibitors,impacts,myocardial infarction mortality
sodium-glucose cotransporter-2 inhibitors,impacts,myocardial infarction mortality
sodium-glucose cotransporter-2 inhibitors,impacts were on,myocardial infarction mortality
soleus muscle,due to,type of exercise and muscle fiber composition
soluble cereal fiber,has impact on,glycometabolic gastrointestinal hormones
soluble cereal fiber,has an impact on,glycometabolic gastrointestinal hormones
soluble cereal fiber,acts through,points of action
some patients,be susceptive to,fiber
something,is associated with,metabolic disorders
something else,causes,the effect
Species Catus,was associated with,increased MOD risk
species faecis,associated with,T2DM
species finegoldii,associated with,T2DM
species longum,associated with,T2DM
Specific BAs,are closely associated with,adiposity indices
specific impact of cheese consumption,remains,unclear
spinal stenosis,is one of the main causes of,pain and dysfunction in older adults
"Spleen-and-stomach-tonifying, yin-fire-purging, and yang-raising decoction",can reduce the risk of,macrovascular lesions in type 2 diabetes mellitus
stable angina pectoris,is associated with,getting up in the morning
stable angina pectoris,increased,risk
standard therapy,had,"WO = 1.03, 95% CI: 0.99-1.07"
statement,is the same as saying,S1 and S2
statin therapy,increases the risk of developing,type 2 diabetes mellitus
statistical notation,indicated,difference was statistically significant
statistically significant evidence,found no,causal association between dys
statistically significant evidence,found no,causal association between dysglycemic traits and vitiligo
stimulatory effects,on,insulin release
stimulatory effects,cause,recurrent hypoglycemia
stimulatory effects of dextrose and glucagon on insulin release,cause,recurrent hypoglycemia
stimulatory effects of intravenous and oral dextrose and glucagon on insulin release,cause,recurrent hypoglycemia
stimulatory effects on insulin release,may cause,recurrent hypoglycemia
straight position,had,highest predictive value
strain,exhibits,dysregulated immune responses
strategies for preventing T2DM,are associated with,adverse side effects
strategy,to reduce,risk of PaCa
strength test (f),were used to examine,causal association between gm and the onset of t2dm
strengthening the role of diabetes nurse specialists,can lead to,improving managing diabetes mellitus and its complications
strengthening the role of diabetes nurse specialists,can contribute to,managing diabetes complications
strengthening the role of diabetes nurse specialists,can contribute to,managing diabetes mellitus
strengthening the role of diabetes nurse specialists,can contribute to,managing diabetes mellitus and its complications
stress,impact of,cardiovascular response
stress,lead to,inflammatory responses
strict criteria,filtering with,eligible genetic instruments
stroke,was complicated by,type 2 diabetes mellitus
strong evidence,support,causal role of Glucose-dependent insulinotropic polypeptide receptor agonists
structural racism,has resulted in,fewer economic and educational opportunities for AAs
structural racism,has resulted in,fewer economic opportunities for AAs
structural racism,has resulted in,fewer educational opportunities for AAs
structured exercise manual interventions,on the biochemical markers of,sedentary prediabetic patients
SUA,had causal effect on,diabetic microvascular complications
subgroup analysis,was done,cause of mortality
subgroup analysis at 3 months,showed that influenced,age
subgroup analysis at 3 months,showed that influenced,BMI
subgroup analysis at 3 months,showed that influenced,comorbidity
subgroup analysis at 3 months,showed that influenced,disease duration
subgroup analysis at 3 months,showed that influenced,education
subgroup analysis results,suggest that,effect of exercise interventions
subgroup analysis results,suggest that,effect of exercise interventions may be influenced
subgroup analysis results,suggest that,effect of exercise interventions may be influenced by various factors
